name,prices,url,badge
Set of 4 Round Woven Placemats,"['Sale price', '£12.00', 'Previous price', '£20.0']",https://www.marksandspencer.com/set-of-4-round-woven-placemats/p/hbp60476200?color=GOLD#intid=prodColourId-60476047,40% off
Set of 4 Round Woven Placemats,"['Sale price', '£12.00', 'Previous price', '£20.0']",https://www.marksandspencer.com/set-of-4-round-woven-placemats/p/hbp60476200?color=RED#intid=prodColourId-60476195,40% off
Set of 3 Lisbon Hard Shell 8 Wheel Suitcase,"['Sale price', '£144.00', 'Previous price', '£240.0']",https://www.marksandspencer.com/set-of-3-lisbon-suitcases/p/hbp60446969?color=BLUE,40% off
Jasper Set of 3 Soft Suitcases,"['Sale price', '£120.00', 'Previous price', '£200.0']",https://www.marksandspencer.com/jasper-set-of-3-soft-suitcases/p/hbp60292795?color=TEAL,40% off
Percale 300 Thread Count Fitted Sheet,"['Sale price', '£15.00 - £21.00', 'Previous price']",https://www.marksandspencer.com/percale-fitted-sheet/p/hbp60460645?color=LIGHTGREY#intid=prodColourId-60460646,40% off
Percale 300 Thread Count Fitted Sheet,"['Sale price', '£15.00 - £21.00', 'Previous price']",https://www.marksandspencer.com/percale-fitted-sheet/p/hbp60460645?color=WHITE#intid=prodColourId-60460645,40% off
Cosy & Light Mattress Protector,"['Sale price', '£7.20 - £18.00', 'Previous price']",https://www.marksandspencer.com/cosy-and-light-mattress-protector/p/hbp60440471?color=WHITE,40% off
2 Pack Cosy & Light Medium Pillows,"['Sale price', '£15.00', 'Previous price', '£25.0']",https://www.marksandspencer.com/2-pack-cosy-and-light-synthetic-pillows/p/hbp60440474?color=WHITE,40% off
Cosy & Light Pillow Protector,"['Sale price', '£4.20', 'Previous price', '£7.0']",https://www.marksandspencer.com/cosy-and-light-pillow-protector/p/hbp60440473?color=WHITE,40% off
Lincoln Salvage Table Lamp,"['Sale price', '£47.40', 'Previous price', '£79.0']",https://www.marksandspencer.com/lincoln-salvage-table-lamp/p/hbp60193630?color=PUTTY,40% off
Lincoln Salvage Floor Lamp,"['Sale price', '£77.40', 'Previous price', '£129.0']",https://www.marksandspencer.com/lincoln-salvage-lantern-floor-lamp/p/hbp60193631?color=PUTTY,40% off
Droplet Table Lamp,"['Sale price', '£35.40', 'Previous price', '£59.0']",https://www.marksandspencer.com/droplet-range-table-lamp/p/hbp60370329?color=WHITE,40% off
Modern LED Flush Chandelier,"['Sale price', '£71.40', 'Previous price', '£119.0']",https://www.marksandspencer.com/flush-led-with-droplets/p/hbp60292274?color=CLEAR,40% off
Gem Ball Small Pendant Light,"['Sale price', '£77.40', 'Previous price', '£129.0']",https://www.marksandspencer.com/gem-ball-small-ceiling-pendant/p/hbp60375170?color=CHROME,40% off
Organza Chandelier,"['Sale price', '£57.00', 'Previous price', '£95.0']",https://www.marksandspencer.com/organza-5-light-chandelier/p/hbp60292296?color=GREY,40% off
Simple Shade Pendant Light,"['Sale price', '£35.40', 'Previous price', '£59.0']",https://www.marksandspencer.com/single-pendant-with-grey-shade/p/hbp60370300?color=GREY,40% off
